 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;DISTRITO;TIPO;
8111174;"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 23 de julio";"";"0";"0";"";"";"2015-07-23 00:00:00.0";"2015-07-23 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c4c17ca556a2e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 23 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=efe99b4cb5a2e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8113109;"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 30 de julio";"";"0";"0";"";"";"2015-07-30 00:00:00.0";"2015-07-30 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8b913220a7f2e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 30 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=388612d366f2e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8102908;"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 4 de julio";"";"0";"0";"";"";"2015-07-04 00:00:00.0";"2015-07-04 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5ebe651dc460e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Sábado 4 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=352229fed360e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8103622;"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 9 de julio";"";"0";"0";"";"";"2015-07-09 00:00:00.0";"2015-07-09 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9a9f6aa34c60e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Jueves 9 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=770c20819b60e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8104983;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 13 de julio";"";"0";"0";"";"";"2015-07-13 00:00:00.0";"2015-07-13 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7b11e57df8b0e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 13 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=627169a868b0e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8106451;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 20 de julio";"";"0";"0";"";"";"2015-07-20 00:00:00.0";"2015-07-20 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=79a5f63c20b1e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 20 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4672f63c20b1e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8111870;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 27 de julio";"";"0";"0";"";"";"2015-07-27 00:00:00.0";"2015-07-27 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e54fc35b31b2e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 27 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec4ad17490b2e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8113019;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 29 de julio";"";"0";"0";"";"";"2015-07-29 00:00:00.0";"2015-07-29 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f9d912d366f2e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Miércoles 29 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=313812d366f2e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8102259;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 29 de junio";"";"0";"0";"";"";"2015-06-29 00:00:00.0";"2015-06-29 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b21fec1d5f50e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 29 de junio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ec1dec1d5f50e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8103241;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 6 de julio";"";"0";"0";"";"";"2015-07-06 00:00:00.0";"2015-07-06 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ac921bea7760e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 6 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=cadb1bea7760e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8103477;"Cine de verano al aire libre. Fescinal La Bombilla. Lunes 6 de julio_copia";"";"0";"0";"";"";"2015-07-06 00:00:00.0";"2015-07-06 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f01a88cd960e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Martes 7 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b9f0a88cd960e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8105056;"Cine de verano al aire libre. Fescinal La Bombilla. Martes 14 de julio";"";"0";"0";"";"";"2015-07-14 00:00:00.0";"2015-07-14 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c512de79a9b0e410VgnVCM1000000b205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Martes 14 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d6ffde79a9b0e410VgnVCM1000000b205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8106634;"Cine de verano al aire libre. Fescinal La Bombilla. Martes 21 de julio";"";"0";"0";"";"";"2015-07-21 00:00:00.0";"2015-07-21 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c9c07fbc04b1e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Martes 21 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7e407fbc04b1e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8111886;"Cine de verano al aire libre. Fescinal La Bombilla. Martes 28 de julio";"";"0";"0";"";"";"2015-07-28 00:00:00.0";"2015-07-28 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3c8aedece1b2e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Martes 28 de julio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5fd5c35b31b2e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
8102340;"Cine de verano al aire libre. Fescinal La Bombilla. Martes 30 de junio";"";"0";"0";"";"";"2015-06-30 00:00:00.0";"2015-06-30 23:59:00.0";"00:00";"";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f96ddecce060e410VgnVCM2000000c205a0aRCRD";"Cine de verano al aire libre. Fescinal La Bombilla. Martes 30 de junio";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6086ec1d5f50e410VgnVCM2000000c205a0aRCRD";"http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=542b896bd24be210VgnVCM2000000c205a0aRCRD";"Parque de la Bombilla";"438278";"4475764";"40.42834456035844";"-3.728941931668392";"MONCLOA-ARAVACA";"/contenido/actividades/Peliculas";
